Sku,ProductCode,Pattern,Color,PatternColorCombo,Status,IntroDate,Contents,Width,Direction,HRepeat,VRepeat,CleaningCode,DoubleRubs,Misc,Disclaimer,Uses,Designs,Colors,Origin,PillingGrade,FireCode,Categories,Brand,IsDropShipped,Image,DisplayPrice,Price,SupplementalImages,FullWidthImages,Inventory.ProductCode,Inventory.Rolls,Inventory.Total,Inventory.PurchaseOrders,Inventory.TotalOnPO,Inventory.OnBackorder
12347,ABBOTTADMIRAL,ABBOTT,ADMIRAL,ABBOTT ADMIRAL,N,11/17/2025 0:00:00,100% COTTON,55,UPROLL,13.5,25.2,S,"50,000 WYZ",,,"[""Multipurpose"",""Upholstery""]","[""Abstract"",""Floral""]","[""Blue""]",PAKISTAN,4,"CA 117, NFPA 260","[""Prints""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ABBOTT%20ADMIRAL.jpg,74.00,7400,"[""https://images.magfabrics.com/fabrics/ABBOTT%20ADMIRAL-1.jpg"",""https://images.magfabrics.com/fabrics/ABBOTT%20ADMIRAL-2.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/ABBOTT%20FULL.jpg""]",ABBOTTADMIRAL,"[{""ID"":""1464-6447"",""Quantity"":""43.75""},{""ID"":""1301-6448"",""Quantity"":""2""}]",45.75,null,0,0
12346,ABBOTTAEGEAN,ABBOTT,AEGEAN,ABBOTT AEGEAN,N,11/17/2025 0:00:00,100% COTTON,55,UPROLL,13.5,25.2,S,"50,000 WYZ",,,"[""Multipurpose"",""Upholstery""]","[""Abstract"",""Floral""]","[""Aqua/Teal""]",PAKISTAN,4,"CA 117, NFPA 260","[""Prints""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ABBOTT%20AEGEAN.jpg,74.00,7400,"[""https://images.magfabrics.com/fabrics/ABBOTT%20AEGEAN-1.jpg"",""https://images.magfabrics.com/fabrics/ABBOTT%20AEGEAN-2.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/ABBOTT%20FULL.jpg""]",ABBOTTAEGEAN,"[{""ID"":""1616-6445"",""Quantity"":""2.75""},{""ID"":""1214-6446"",""Quantity"":""52""}]",54.75,null,0,0
12348,ABBOTTBERRY,ABBOTT,BERRY,ABBOTT BERRY,N,11/17/2025 0:00:00,100% COTTON,55,UPROLL,13.5,25.2,S,"50,000 WYZ",,,"[""Multipurpose"",""Upholstery""]","[""Abstract"",""Floral""]","[""Multi-Color"",""Pink"",""Purple""]",PAKISTAN,4,"CA 117, NFPA 260","[""Prints""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ABBOTT%20BERRY.jpg,74.00,7400,"[""https://images.magfabrics.com/fabrics/ABBOTT%20BERRY-2.jpg"",""https://images.magfabrics.com/fabrics/ABBOTT%20BERRY-3.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/ABBOTT%20FULL.jpg""]",ABBOTTBERRY,"[{""ID"":""1309-6449"",""Quantity"":""1.625""},{""ID"":""1225-6450"",""Quantity"":""50""}]",51.625,null,0,0
12345,ABBOTTGEMS,ABBOTT,GEMS,ABBOTT GEMS,N,11/17/2025 0:00:00,100% COTTON,55,UPROLL,13.5,25.2,S,"50,000 WYZ",,,"[""Multipurpose"",""Upholstery""]","[""Abstract"",""Floral""]","[""Multi-Color""]",PAKISTAN,4,"CA 117, NFPA 260","[""Prints""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ABBOTT%20GEMS.jpg,74.00,7400,"[""https://images.magfabrics.com/fabrics/ABBOTT%20GEMS-1.jpg"",""https://images.magfabrics.com/fabrics/ABBOTT%20GEMS-2.jpg"",""https://images.magfabrics.com/fabrics/ABBOTT%20GEMS-3.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/ABBOTT%20FULL.jpg""]",ABBOTTGEMS,"[{""ID"":""1471-6444"",""Quantity"":""50""},{""ID"":""1331-6443"",""Quantity"":""2.875""}]",52.875,null,0,0
10689,ABUMULTI,ABU,MULTI,ABU MULTI,B,1/18/2023 0:00:00,100 LINEN,62,UPROLL,25.2,25.2,S,"12,000",,"This fabric is linen rich. The variations in shade, texture and color are qualities unique to authentic linen. Both the random shading and textural variations highlight the natural beauty and aesthetics of the linen fiber.","[""Bedding"",""Drapery"",""Multipurpose""]","[""Novelty""]","[""Multi-Color""]",SPAIN,5,"UFAC 1, CA 117","[""Linen"",""Prints""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ABU%20MULTI.jpg,128.00,12800,"[""https://images.magfabrics.com/fabrics/ABU%20MULTI%201.jpg"",""https://images.magfabrics.com/fabrics/ABU%20MULTI%202.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/ABU%20FULL.jpg""]",ABUMULTI,"[{""ID"":""1543-1436"",""Quantity"":""6.5""}]",6.5,"[{""ETA"":""7/10/2026"",""Amount"":""30""}]",30,0
12449,ADAMSAZURE,ADAMS,AZURE,ADAMS AZURE,B,12/14/2025 0:00:00,"93% Polyester, 7% Linen","56""",NON DIRECTIONAL,0,0,W,"75,000 WB",,,"[""Contract"",""Upholstery""]","[""Basketweave"",""Solid"",""Textured Plain""]","[""Blue"",""Navy""]",CHINA,5,"CALTB117-2013, NFPA 260 Class 1, UFAC Class 1","[""Chenille"",""Fire Rated (Fr)"",""Solids/Small Scale"",""Wovens""]",Indura Performance,true,https://images.magfabrics.com/fabrics/ADAMS%20AZURE.jpg,60.00,6000,null,null,,,,,,
12450,ADAMSBAY,ADAMS,BAY,ADAMS BAY,B,12/14/2025 0:00:00,"93% Polyester, 7% Linen","56""",NON DIRECTIONAL,0,0,W,"75,000 WB",,,"[""Contract"",""Upholstery""]","[""Basketweave"",""Solid"",""Textured Plain""]","[""Green""]",CHINA,5,"CALTB117-2013, NFPA 260 Class 1, UFAC Class 1","[""Chenille"",""Fire Rated (Fr)"",""Solids/Small Scale"",""Wovens""]",Indura Performance,true,https://images.magfabrics.com/fabrics/ADAMS%20BAY.jpg,60.00,6000,"[""https://images.magfabrics.com/fabrics/ADAMS%20BAY2.JPG""]",null,,,,,,
12451,ADAMSCAMEL,ADAMS,CAMEL,ADAMS CAMEL,B,12/14/2025 0:00:00,"93% Polyester, 7% Linen","56""",NON DIRECTIONAL,0,0,W,"75,000 WB",,,"[""Contract"",""Upholstery""]","[""Basketweave"",""Solid"",""Textured Plain""]","[""Bronze"",""Brown"",""Caramel""]",CHINA,5,"CALTB117-2013, NFPA 260 Class 1, UFAC Class 1","[""Chenille"",""Fire Rated (Fr)"",""Solids/Small Scale"",""Wovens""]",Indura Performance,true,https://images.magfabrics.com/fabrics/ADAMS%20CAMEL.jpg,60.00,6000,"[""https://images.magfabrics.com/fabrics/ADAMS%20CAMEL2.JPG""]",null,,,,,,
12452,ADAMSDOVE,ADAMS,DOVE,ADAMS DOVE,B,12/14/2025 0:00:00,"93% Polyester, 7% Linen","56""",NON DIRECTIONAL,0,0,W,"75,000 WB",,,"[""Contract"",""Upholstery""]","[""Basketweave"",""Solid"",""Textured Plain""]","[""Gray"",""Linen"",""Natural""]",CHINA,5,"CALTB117-2013, NFPA 260 Class 1, UFAC Class 1","[""Chenille"",""Fire Rated (Fr)"",""Solids/Small Scale"",""Wovens""]",Indura Performance,true,https://images.magfabrics.com/fabrics/ADAMS%20DOVE.jpg,60.00,6000,"[""https://images.magfabrics.com/fabrics/ADAMS%20DOVE2.JPG""]",null,,,,,,
12453,ADAMSGARNET,ADAMS,GARNET,ADAMS GARNET,B,12/14/2025 0:00:00,"93% Polyester, 7% Linen","56""",NON DIRECTIONAL,0,0,W,"75,000 WB",,,"[""Contract"",""Upholstery""]","[""Basketweave"",""Solid"",""Textured Plain""]","[""Burgundy"",""Red""]",CHINA,5,"CALTB117-2013, NFPA 260 Class 1, UFAC Class 1","[""Chenille"",""Fire Rated (Fr)"",""Solids/Small Scale"",""Wovens""]",Indura Performance,true,https://images.magfabrics.com/fabrics/ADAMS%20GARNET.jpg,60.00,6000,"[""https://images.magfabrics.com/fabrics/ADAMS%20GARNET2.JPG""]",null,,,,,,
