Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,Dimensions
ABBOTTADMIRAL,ABBOTT ADMIRAL,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12347</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 13.5</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 25.2</p><p class=""magfabrics-color"">Color: ADMIRAL</p><p class=""magfabrics-uses"">Uses: Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 100% COTTON</p><p class=""magfabrics-double-rubs"">Double Rubs: 50,000 WYZ</p><p class=""magfabrics-designs"">Design: Abstract, Floral</p><p class=""magfabrics-categories"">Categories: Prints</p><p class=""magfabrics-width"">Width: 55</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: PAKISTAN</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: CA 117, NFPA 260</p></div>",MagFabrics,,,"Multipurpose, Upholstery",TRUE,,,,,,,12347,,,45.75,continue,manual,74.00,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20ADMIRAL.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ABBOTTADMIRAL,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20ADMIRAL-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTTADMIRAL,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20ADMIRAL-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTTAEGEAN,ABBOTT AEGEAN,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12346</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 13.5</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 25.2</p><p class=""magfabrics-color"">Color: AEGEAN</p><p class=""magfabrics-uses"">Uses: Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 100% COTTON</p><p class=""magfabrics-double-rubs"">Double Rubs: 50,000 WYZ</p><p class=""magfabrics-designs"">Design: Abstract, Floral</p><p class=""magfabrics-categories"">Categories: Prints</p><p class=""magfabrics-width"">Width: 55</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: PAKISTAN</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: CA 117, NFPA 260</p></div>",MagFabrics,,,"Multipurpose, Upholstery",TRUE,,,,,,,12346,,,54.75,continue,manual,74.00,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20AEGEAN.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ABBOTTAEGEAN,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20AEGEAN-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTTAEGEAN,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20AEGEAN-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTTBERRY,ABBOTT BERRY,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12348</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 13.5</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 25.2</p><p class=""magfabrics-color"">Color: BERRY</p><p class=""magfabrics-uses"">Uses: Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 100% COTTON</p><p class=""magfabrics-double-rubs"">Double Rubs: 50,000 WYZ</p><p class=""magfabrics-designs"">Design: Abstract, Floral</p><p class=""magfabrics-categories"">Categories: Prints</p><p class=""magfabrics-width"">Width: 55</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: PAKISTAN</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: CA 117, NFPA 260</p></div>",MagFabrics,,,"Multipurpose, Upholstery",TRUE,,,,,,,12348,,,51.625,continue,manual,74.00,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20BERRY.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ABBOTTBERRY,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20BERRY-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTTBERRY,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20BERRY-3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTTGEMS,ABBOTT GEMS,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12345</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 13.5</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 25.2</p><p class=""magfabrics-color"">Color: GEMS</p><p class=""magfabrics-uses"">Uses: Multipurpose, Upholstery</p><p class=""magfabrics-contents"">Contents: 100% COTTON</p><p class=""magfabrics-double-rubs"">Double Rubs: 50,000 WYZ</p><p class=""magfabrics-designs"">Design: Abstract, Floral</p><p class=""magfabrics-categories"">Categories: Prints</p><p class=""magfabrics-width"">Width: 55</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: PAKISTAN</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: CA 117, NFPA 260</p></div>",MagFabrics,,,"Multipurpose, Upholstery",TRUE,,,,,,,12345,,,52.875,continue,manual,74.00,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20GEMS.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ABBOTTGEMS,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20GEMS-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTTGEMS,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20GEMS-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTTGEMS,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ABBOTT%20GEMS-3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUMULTI,ABU MULTI,"<div class=""magfabrics-body""><p class=""magfabrics-description"">Description: This fabric is linen rich. The variations in shade, texture and color are qualities unique to authentic linen. Both the random shading and textural variations highlight the natural beauty and aesthetics of the linen fiber.</p><p class=""magfabrics-sku"">MagFabrics SKU #: 10689</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 25.2</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 25.2</p><p class=""magfabrics-color"">Color: MULTI</p><p class=""magfabrics-uses"">Uses: Bedding, Drapery, Multipurpose</p><p class=""magfabrics-contents"">Contents: 100 LINEN</p><p class=""magfabrics-double-rubs"">Double Rubs: 12,000</p><p class=""magfabrics-designs"">Design: Novelty</p><p class=""magfabrics-categories"">Categories: Linen, Prints</p><p class=""magfabrics-width"">Width: 62</p><p class=""magfabrics-cleaning-code"">Cleaning Code: S</p><p class=""magfabrics-origin"">Origin: SPAIN</p><p class=""magfabrics-brand"">Brand: MagFabrics</p><p class=""magfabrics-fire-code"">Fire Code: UFAC 1, CA 117</p></div>",MagFabrics,,,"Bedding, Drapery, Multipurpose",TRUE,,,,,,,10689,,,6.5,continue,manual,128.00,,,,,https://images.magfabrics.com/fabrics/ABU%20MULTI.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ABUMULTI,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ABU%20MULTI%201.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUMULTI,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ABU%20MULTI%202.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMSAZURE,ADAMS AZURE,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12449</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 0</p><p class=""magfabrics-color"">Color: AZURE</p><p class=""magfabrics-uses"">Uses: Contract, Upholstery</p><p class=""magfabrics-contents"">Contents: 93% Polyester, 7% Linen</p><p class=""magfabrics-double-rubs"">Double Rubs: 75,000 WB</p><p class=""magfabrics-designs"">Design: Basketweave, Solid, Textured Plain</p><p class=""magfabrics-categories"">Categories: Chenille, Fire Rated (Fr), Solids/Small Scale, Wovens</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: W</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: Indura Performance</p><p class=""magfabrics-fire-code"">Fire Code: CALTB117-2013, NFPA 260 Class 1, UFAC Class 1</p></div>",MagFabrics,,,"Contract, Upholstery",TRUE,,,,,,,12449,,,,continue,manual,60.00,,,,,https://images.magfabrics.com/fabrics/ADAMS%20AZURE.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ADAMSBAY,ADAMS BAY,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12450</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 0</p><p class=""magfabrics-color"">Color: BAY</p><p class=""magfabrics-uses"">Uses: Contract, Upholstery</p><p class=""magfabrics-contents"">Contents: 93% Polyester, 7% Linen</p><p class=""magfabrics-double-rubs"">Double Rubs: 75,000 WB</p><p class=""magfabrics-designs"">Design: Basketweave, Solid, Textured Plain</p><p class=""magfabrics-categories"">Categories: Chenille, Fire Rated (Fr), Solids/Small Scale, Wovens</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: W</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: Indura Performance</p><p class=""magfabrics-fire-code"">Fire Code: CALTB117-2013, NFPA 260 Class 1, UFAC Class 1</p></div>",MagFabrics,,,"Contract, Upholstery",TRUE,,,,,,,12450,,,,continue,manual,60.00,,,,,https://images.magfabrics.com/fabrics/ADAMS%20BAY.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ADAMSBAY,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ADAMS%20BAY2.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMSCAMEL,ADAMS CAMEL,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12451</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 0</p><p class=""magfabrics-color"">Color: CAMEL</p><p class=""magfabrics-uses"">Uses: Contract, Upholstery</p><p class=""magfabrics-contents"">Contents: 93% Polyester, 7% Linen</p><p class=""magfabrics-double-rubs"">Double Rubs: 75,000 WB</p><p class=""magfabrics-designs"">Design: Basketweave, Solid, Textured Plain</p><p class=""magfabrics-categories"">Categories: Chenille, Fire Rated (Fr), Solids/Small Scale, Wovens</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: W</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: Indura Performance</p><p class=""magfabrics-fire-code"">Fire Code: CALTB117-2013, NFPA 260 Class 1, UFAC Class 1</p></div>",MagFabrics,,,"Contract, Upholstery",TRUE,,,,,,,12451,,,,continue,manual,60.00,,,,,https://images.magfabrics.com/fabrics/ADAMS%20CAMEL.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ADAMSCAMEL,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ADAMS%20CAMEL2.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,
